"weight","new_entrepreneur","established_entrepreneur","knows_entrepreneur","local_opportunity","entrepreneurial_skill","fear_of_failure","wants_entrepreneurship","respects_entrepreneurship","follows_entrepreneurship","future_startup","discontinued_business","discontinued_business_continuation","is_investor","investment","investment_relationship","gender","age_range","household_size","household_income","education","new_entrepreneur_industry","established_entrepreneur_industry","new_entrepreneur_new_jobs","established_entrepreneur_new_jobs","established_entrepreneur_owners","new_entrepreneur_owners","new_entrepreneur_external_sales","established_entrepreneur_external_sales","new_entrepreneur_innovation","year","new_entrepreneur_local_innovation","new_entrepreneur_employees","established_entrepreneur_employees","race","region"
0.674020282,"No","No","No","No","No","No",NA,NA,NA,"No","No",NA,"No",NA,NA,"female","55-64",NA,NA,"Completed College/University",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",NA,NA,NA,"White","Great Lakes"
0.674020282,"No","No","No",NA,"No",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"female","55-64",2,"$75,000 to under $100,000","Some College/University",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",NA,NA,NA,"White","Great Lakes"
0.814409085,"No","Yes","No","No","Yes","Yes",NA,NA,NA,"No","No",NA,"No",NA,NA,"male","45-54",4,"$100,000 to under $150,000","Degree Graduate (Master's or PhD)",NA,"INFORMATION AND COMMUNICATION",NA,NA,1,NA,NA,NA,NA,"2015",NA,NA,1,"White","Great Lakes"
1.289585554,"No","No","No",NA,"Yes",NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,"male","35-44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",NA,NA,NA,"Black","Great Lakes"
0.963587002,"No","No","No",NA,"No","No",NA,NA,NA,"No","No",NA,"No",NA,NA,"male","35-44",5,"Under $15,000","Completed High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",NA,NA,NA,"Black","Southeast"
1.017786633,"No","No","No","Yes","Yes","No",NA,NA,NA,"No","No",NA,"No",NA,NA,"male","45-54",3,NA,"Some College/University",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",NA,NA,NA,"White","Pacific Southwest"
0.941175055,"No","No","No","No",NA,"No",NA,NA,NA,"No","No",NA,"No",NA,NA,"female","55-64",1,"Under $15,000","Some College/University",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",NA,NA,NA,"White","Southeast"
1.027241125,"No","No","No","No",NA,"No",NA,NA,NA,"No","No",NA,"No",NA,NA,"female","45-54",3,"$35,000 to under $50,000","Some College/University",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",NA,NA,NA,"Hispanic","Southeast"
1.193705039,"No","No","No",NA,"Yes",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"female","55-64",3,"$35,000 to under $50,000","Completed High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",NA,NA,NA,"White","New England"
1.017786633,"No","No","No","No","No","No",NA,NA,NA,"No","No",NA,"No",NA,NA,"male","45-54",4,"$35,000 to under $50,000","Completed High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",NA,NA,NA,"Hispanic","Pacific Southwest"
